codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
GRLV11,Logística,"R$ 145,50",54618.0,"R$ 0,17","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","60,81%","R$ 6.407.890,29","R$ 5,97","24,38",N/A,N/A,N/A,N/A,"3,70%","3,40%",0
CXTL11,Logística,"R$ 295,00",37.0,"R$ 0,55","0,15%","0,26%","1,24%","2,49%","0,09%","0,21%","0,21%","0,15%","0,00%","0,15%","0,15%","R$ 39.103.828,09","R$ 729,59","0,40",N/A,N/A,N/A,N/A,"68,10%","71,10%",4
NVIF11B,Outros,N/A,N/A,"R$ 0,30","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 61.008.050,48","R$ 180,82",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
SCPF11,Shoppings,"R$ 9,09",275.0,"R$ 0,05","0,54%","1,39%","1,76%","4,07%","0,46%","0,29%","0,34%","0,54%","0,00%","0,54%","0,54%","R$ 53.127.774,65","R$ 12,65","0,72",N/A,N/A,N/A,N/A,"25,10%",N/A,1
DRIT11B,Lajes Corporativas,"R$ 109,79",14.0,"R$ 0,30","0,25%","0,85%","1,84%","3,79%","0,28%","0,31%","0,32%","0,48%","-7,83%","-7,60%","-7,38%","R$ 60.793.226,17","R$ 131,22","0,84",N/A,N/A,N/A,N/A,"23,72%",N/A,6
ARCT11,Híbrido,"R$ 109,00",2846.0,"R$ 5,37","3,86%","5,26%","9,59%","0,00%","1,75%","1,60%","0,00%","4,58%","0,00%","3,86%","4,61%","R$ 44.773.404,50","R$ 103,14","1,06",N/A,N/A,N/A,N/A,N/A,N/A,2
RBDS11,Residencial,"R$ 20,81",103.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 2.847.464,42","R$ 22,51","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRD11,Híbrido,"R$ 59,78",587.0,"R$ 0,02","0,04%","0,19%","5,07%","23,53%","0,06%","0,85%","1,96%","0,10%","-14,01%","-13,98%","-13,92%","R$ 129.738.852,23","R$ 70,06","0,85",N/A,N/A,N/A,N/A,"31,72%",N/A,4
FVPQ11,Shoppings,"R$ 140,96",330.0,"R$ 1,40","1,01%","1,43%","1,90%","5,13%","0,48%","0,32%","0,43%","1,38%","-3,11%","-2,13%","-1,77%","R$ 549.474.596,20","R$ 196,23","0,72",N/A,N/A,N/A,N/A,"5,80%",N/A,1
SPVJ11,Outros,N/A,N/A,"R$ 0,70","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 397.479.378,98","R$ 107,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HOSI11,Híbrido,"R$ 80,70",199.0,"R$ 0,56","0,67%","1,90%","3,79%","0,00%","0,63%","0,63%","0,00%","1,33%","-1,90%","-1,24%","-0,59%","R$ 53.290.536,43","R$ 92,93","0,87",N/A,N/A,N/A,N/A,N/A,N/A,2
RBGS11,Shoppings,"R$ 38,62",1037.0,"R$ 0,28","0,70%","1,77%","1,77%","5,16%","0,59%","0,29%","0,43%","1,65%","-3,33%","-2,66%","-1,73%","R$ 98.027.491,89","R$ 90,93","0,42",N/A,N/A,N/A,N/A,"11,50%",N/A,1
WPLZ11,Shoppings,"R$ 64,90",22.0,"R$ 0,10","0,15%","0,15%","0,00%","0,00%","0,05%","0,00%","0,00%","0,15%","-3,64%","-3,50%","-3,50%","R$ 107.307.294,75","R$ 105,13","0,62",N/A,N/A,N/A,N/A,"8,30%",N/A,1
HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 51,82","22,83%","23,71%","24,88%","25,51%","7,90%","4,15%","2,13%","23,71%","0,00%","22,83%","23,92%","R$ 91.223.530,50","R$ 238,79","0,95",N/A,N/A,N/A,N/A,"1,80%",N/A,1
FATN11,Híbrido,"R$ 94,04",306.0,"R$ 0,66","0,64%","1,83%","3,54%","6,65%","0,61%","0,59%","0,55%","1,26%","2,90%","3,56%","4,20%","R$ 53.957.885,60","R$ 100,34","0,94",N/A,N/A,N/A,N/A,"0,00%",N/A,7
BREV11,Híbrido,"R$ 108,05",2.0,"R$ 0,40","0,37%","1,04%","2,16%","0,00%","0,35%","0,36%","0,00%","0,62%","-5,14%","-4,79%","-4,55%","R$ 98.965.468,76","R$ 105,82","1,02",N/A,N/A,N/A,N/A,"21,00%",N/A,12
FLMA11,Híbrido,"R$ 2,79",42685.0,"R$ 0,01","0,42%","1,07%","1,80%","3,17%","0,36%","0,30%","0,26%","0,77%","-6,33%","-5,94%","-5,61%","R$ 215.068.478,29","R$ 3,12","0,90",N/A,N/A,N/A,N/A,"6,00%",N/A,2
